工作表,列A,列B,列C,列D,列E,列F,列G,列H,列I

=== 工作表1: Products (产品列表) ===
Product ID,Product Name,Brand,Category,Subcategory,Enabled Stores,Notes
hydrating-88,CeraVe Hydrating Cleanser 88ml,CeraVe,护肤,Cleanser,"Guardian,Watsons,Caring,Shopee",温和保湿洁面
hydrating-234,CeraVe Hydrating Cleanser 234ml,CeraVe,护肤,Cleanser,"Guardian,Watsons,Caring,Shopee",家庭装
hydrating-400,CeraVe Hydrating Cleanser 400ml,CeraVe,护肤,Cleanser,"Guardian,Watsons,Shopee",超大容量
foaming-88,CeraVe Foaming Cleanser 88ml,CeraVe,护肤,Cleanser,"Guardian,Watsons,Caring,Shopee",泡沫洁面
foaming-234,CeraVe Foaming Cleanser 234ml,CeraVe,护肤,Cleanser,"Guardian,Watsons,Caring,Shopee",适合油性肌肤
foaming-400,CeraVe Foaming Cleanser 400ml,CeraVe,护肤,Cleanser,"Guardian,Watsons,Shopee",经济装
garnier-toner,Garnier Rose Water 400ml,Garnier,护肤,Toner,"Guardian,Watsons,Shopee",玫瑰水爽肤水
hada-labo-lotion,Hada Labo Gokujyun Lotion,Hada Labo,护肤,Toner,"Guardian,Watsons,Shopee",肌研极润化妆水
biore-sunscreen,Biore UV Aqua Rich SPF50,Biore,护肤,Sunscreen,"Guardian,Watsons,Shopee",防晒霜
cerave-moisturizer,CeraVe Moisturizing Cream 454g,CeraVe,护肤,Moisturizer,"Guardian,Watsons,Shopee",保湿面霜
maybelline-fit-me,Maybelline Fit Me Foundation,Maybelline,美妆,Foundation,"Watsons,Sephora,Shopee",粉底液
loreal-mascara,L'Oreal Lash Paradise Mascara,L'Oreal,美妆,Mascara,"Guardian,Watsons,Sephora",睫毛膏
nike-airmax,Nike Air Max 90,Nike,衣服,Shoes,"Shopee,Lazada",运动鞋
uniqlo-tshirt,Uniqlo AIRism T-Shirt,Uniqlo,衣服,T-Shirt,"Shopee,Lazada",速干T恤
casio-watch,Casio G-Shock GA-2100,Casio,配饰,Watch,"Shopee,Lazada",运动手表

=== 工作表2: Price Records (价格记录) ===
Record ID,Date,Product ID,Store,Regular Price,Promo Price,Promo Type,Remark
1,2024-01-15,hydrating-88,Guardian,25.90,,,正常价格
2,2024-01-15,hydrating-88,Watsons,26.50,,,
3,2024-01-15,hydrating-88,Shopee,24.90,19.43,2nd Item -50%,会员专属
4,2024-01-20,hydrating-88,Guardian,25.90,22.02,2nd Item -30%,周末促销
5,2024-01-25,hydrating-88,Caring,27.90,,,
6,2024-02-01,hydrating-234,Guardian,45.90,,,
7,2024-02-01,hydrating-234,Watsons,46.50,34.88,Buy 1 Free 1,限时促销
8,2024-02-01,hydrating-234,Shopee,43.90,,,
9,2024-02-05,hydrating-400,Shopee,55.90,41.93,2nd Item -50%,App专享
10,2024-02-05,hydrating-400,Guardian,58.90,,,
11,2024-02-05,hydrating-400,Watsons,57.50,,,
12,2024-02-10,garnier-toner,Guardian,18.90,,,
13,2024-02-10,garnier-toner,Watsons,19.50,14.63,Buy 1 Free 1,清仓促销
14,2024-02-10,garnier-toner,Shopee,17.90,,,
15,2024-02-15,foaming-88,Caring,27.90,,,
16,2024-02-15,foaming-88,Guardian,26.90,,,
17,2024-02-15,foaming-88,Watsons,28.50,21.38,2nd Item -50%,
18,2024-02-20,hada-labo-lotion,Guardian,32.90,,,
19,2024-02-20,hada-labo-lotion,Watsons,33.50,25.13,2nd Item -50%,
